Nama CCTV,Jalan,Kelurahan,Kecamatan,Dinas,Hari,Jam,Jam Obervasi,Anomali,Anomali Kategori,KodeSurveyor,File Video CCTV
CCTV DIPATIUKUR UNPAD 02,Jl Tubagus Ismail Dalam,Lebakgede,Coblong,DISKOMINFO,Rabu,12:00,12.40 - 12.50,Mengalami Lag Sedikit,Tidak Berjalan Normal,140810230027,https://drive.google.com/file/d/10Tc0LqY7seFKh9-lZKi0cjqNLfzmcP9d/view?usp=sharing
CCTV PEREMPATAN KIRCON BINONG 01,Jl. Letnan Jendral Ibrahim Adjie,Binong,Batununggal,DISKOMINFO,Rabu,13:00,13.09 - 13.19,Ketutupan Pohon dan Kabel,Terhalang Objek,140810230027,https://drive.google.com/file/d/1xDrFzXCMgL94EGWrDKxeDTA12odNG9ac/view?usp=sharing
CCTV SIMPANG DAGO 02,Jl. Tubagus Ismail,Lebakgede,Coblong,DISKOMINFO,Rabu,13:00,13.43 - 13.53,CCTV LOADING,Tidak Berfungsi,140810230027,https://drive.google.com/file/d/1CHcg2xV4KiRyZ1a-iCZ6nOD7cH9gsfAQ/view?usp=sharing
CCTV DEPAN PENDOPO 01,Jl. Asia Afrika,Balong Gede,Regol,DISKOMINFO,Rabu,14:00,19.20 - 19.30,-,Tidak Beranomali,140810230027,https://drive.google.com/file/d/17eD3wiiwIsKOLwfpbgteRopgLTBdw39Z/view?usp=sharing
TM PET PARK_04,Jl. Ciliwung,Cihapit,Bandung Wetan,DPKP3,Rabu,14:00,,CCTV LOADING,Tidak Berfungsi,140810230027,https://drive.google.com/file/d/1PrFkyb1Zxh_fafboz9Q7glMAFihb-ik7/view?usp=sharing
TM PERS MALABAR 03,Jl. Malabar,Lingkar Selatan,Lengkong,DPKP3,Rabu,14:00,14:03- 14:13,cctv tidak merekam setelah 30 detik,Tidak Berjalan Normal,140810230029,https://drive.google.com/file/d/1OOXAByEwonMPmCmj5K7nS1PVaaB0tYqQ/view?usp=sharing
CCTV JL PURNAWARMAN BEC 01,Jl. Punawarman,Babakan Ciamis,Sumur Bandung,DISKOMINFO,Rabu,14:00,14:13- 14:23,cctv buffering,Tidak Berfungsi,140810230029,https://drive.google.com/file/d/1v1aqNQmeBWzzyBDj4okR23e_CwZvZDL1/view?usp=sharing
CCTV SOETA-KIRCON 02,Jl. Letnan Jenderal Ibrahim Adjie,Cijaura,Buahbatu,DISKOMINFO,Rabu,14:00,14:23 - 14:33,cctv buffering,Tidak Berfungsi,140810230029,https://drive.google.com/file/d/19h0NzyAPn40YMRuMOog-3nsWWxeNe3nI/view?usp=sharing
TAMAN TEGALEGA_08,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Rabu,14:00,14:33- 14: 43,cctv merekam hari kemarin,Salah Timestamp,140810230029,https://drive.google.com/file/d/1BWeJdEqOsjvU8nJre3Sh_G7BAhSs-wF5/view?usp=sharing
CCTV CIKUTRA-TMP 02,Jl. Cikutra Barat,Sukaluyu,Cibeunyi Kaler,DISKOMINFO,Rabu,14:00,14:03- 14:13,cctv buffering,Tidak Berfungsi,140810230029,https://drive.google.com/file/d/1KEiq26mOPg6uJdLvmRnOO_ggUIuTXc9L/view?usp=sharing
CCTV BATAS KOTA 01,Jl. Jenderal Haji Amir Machmud,Cibereum,Kertasari,DISKOMINFO,Rabu,14:00,14:24 - 14: 34,-,Tidak Beranomali,140810230029,https://drive.google.com/file/d/1DVFwlM5J2iXJ5h8bW71lwMi1HBy6H1ZL/view?usp=sharing
CCTV PER3AN SOEKARNO-ASIA AFRIKA 01,Jl. Asia Afrika,Balonggede,Regol,DISKOMINFO,Rabu,14:00,14:50 - 15:00,cctv buffering di akhir,Tidak Berfungsi,140810230029,https://drive.google.com/file/d/12NAkL9A706_nkO3tcsBhe_kKVVnCw5aY/view?usp=sharing
CCTV SIMPANG BRAGA 03,Jl. Cikapundung Timur,Braga,Sumur Bandung,DISKOMINFO,Rabu,14:00,14:39- 14: 50,-,Tidak Beranomali,140810230029,https://drive.google.com/file/d/1J5h2LlPnAyJ3427Lt_kb2syfKLzL4dJl/view?usp=sharing
CCTV ANTAPANI-DEPAN BORMA 01,Jl. Terusan Jakarta,Cicaheum,Antapani,DISKOMINFO,Rabu,15:00,15:07 - 15:17,-,Tidak Beranomali,140810230029,https://drive.google.com/file/d/1_F_d09ogtg5kuE80_s3eWgENHwL3wBB4/view?usp=sharing
CCTV SOETA-BUBAT 03,Jl. Buah Batu,LENGKONG,TURANGGA.,DISKOMINFO,Rabu,15:00,15:18 - 15:28,cctv buffering,Tidak Berfungsi,140810230029,https://drive.google.com/file/d/1uzBDHZp4CTRDVDzC6yCkgkmCb6jHN8NX/view?usp=sharing
CCTV CIATEUL 01,Jl. Ibu Inggit Garnasih No.73,Pungkur,Regol,DISKOMINFO,Rabu,15:00,15.05 - 15.15,cctv terhalang dahan pohon,Terhalang Objek,140810230030,CCTV CIATEUL 01.mp4
CCTV ITC KEBON KALAPA 01,Jl. Moch. Toha Jl. Pungkur,Pungkur,Regol,DISKOMINFO,Rabu,15:00,15.06 - 15.16,cctv offline,Offline,140810230030,CCTV ITC KEBON KALAPA 01.mp4
CCTV SETIABUDI DEPAN TERMINAL LEDENG 02,Jl. Dokter Setiabudi,Ledeng,Cidadap,DISKOMINFO,Rabu,15:00,15.18 - 15.28,cctv terhalang kabel listrik,Terhalang Objek,140810230030,CCTV SETIABUDI DEPAN TERMINAL LEDENG 02.mp4
TAMAN LANSIA_04,Jl. Cisangkuy,Citarum,Bandung Wetan,DPKP3,Rabu,15:00,15.18 - 15.28,-,Tidak Beranomali,140810230030,TAMAN LANSIA_04.mp4
CCTV BATAS KOTA 02,Jl. Jenderal Haji Amir Machmud,Cibereum,Kertasari,DISKOMINFO,Rabu,15:00,15.33 - 15.43,-,Tidak Beranomali,140810230030,CCTV BATAS KOTA 02.mp4
CCTV SETIABUDI GERLONG 02,Jl. Dokter Setiabudi,Gegerkalong,Sukasari,DISKOMINFO,Rabu,16:00,16.00 - 16.10,cctv offline,Offline,140810230030,CCTV SETIABUDI GERLONG 02.mp4
CCTV JL. RUMAH SAKIT-CINAMBO 02,Jl. Rumah Sakit,Sukamulya,Cinambo,DISKOMINFO,Rabu,16:00,16.01 - 16.11,cctv terhalang kabel listrik,Terhalang Objek,140810230030,CCTV JL. RUMAH SAKIT-CINAMBO 02.mp4
CCTV DIPATIUKUR UNPAD 01,Jl Tubagus Ismail Dalam,Lebakgede,Coblong,DISKOMINFO,Rabu,16:00,16.14 - 16.24,-,Tidak Beranomali,140810230030,CCTV DIPATIUKUR UNPAD 01.mp4
PARKIR OTISTA SUDIRMAN,Jl. Jenderal Sudirman,Cibuntu,Bandung Kulon,DISHUB,Rabu,16:00,16.14 - 16.24,cctv offline,Offline,140810230030,PARKIR OTISTA SUDIRMAN.mp4
PARKIR CIHAPIT RIAU (PENGADILAN),Jl. L. L. Raden Eddy Martadinata,Cihapit,Bandung Wetan,DISHUB,Rabu,16:00,16.25 - 16.35,cctv offline,Offline,140810230030,PARKIR CIHAPIT RIAU (PENGADILAN).mp4
PARKIR TRUNOJOYO RIAU PTZ,Jl. Laksamana Laut Raden Eddy Martadinata,Citarum,Bandung Wetan,DISHUB,Rabu,16:00,16.01 - 16.11,cctv offline,Offline,140810230031,https://drive.google.com/file/d/1cB3UDjFV5UBudCiKcqzTQzYHwhz8M3q-/view?usp=drivesdk
CCTV PERTIGAAN AH NASUTION-PASIR IMPUN 01,Jl. A.H. Nasution,Sukamiskin,Arcamanik,DISKOMINFO,Rabu,16:00,16.12 - 16.22,-,Tidak Beranomali,140810230031,https://drive.google.com/file/d/1ctZdo9cRVsA2SiKBHfKQ4GLTDxa8E6F0/view?usp=drivesdk
CCTV DIPATI UKUR-UNIKOM 01,Jl. Dipati Ukur,Lebakgede,Coblong,DISKOMINFO,Rabu,16:00,16.23 - 16.33,-,Tidak Beranomali,140810230031,https://drive.google.com/file/d/1cty1LNFYPPV6rF28A-nNYPsmIDlG59H0/view?usp=drivesdk
CCTV DIPATIUKUR SEKELOA 02,Jl. Dipati Ukur,Lebakgede,Coblong,DISKOMINFO,Rabu,16:00,"16,34 - 16.44",-,Tidak Beranomali,140810230031,https://drive.google.com/file/d/1cv7eg1_5NnK7Yg3c6iFKcYmR7ZjR3DJC/view?usp=drivesdk
CCTV DAGO 4 02,Jl. insinyur haji djuanda kartawidjaya,lebak siliwangi,coblong,DISKOMINFO,Rabu,17:00,16.45 - 16.55,-,Tidak Beranomali,140810230031,https://drive.google.com/file/d/1cw0m_3xp7JYeP6ZRrfhsSnRacprWs5kc/view?usp=drivesdk
CCTV SOETA-BUBAT 01,Jl. Soekarno Hatta,CIBUNTU,BANDUNG KULON,DISKOMINFO,Rabu,17:00,16.56 - 17.06,cctv offline,Offline,140810230031,https://drive.google.com/file/d/1cydur0BPiokglLAqVU90Cxvf92cAdfTZ/view?usp=drivesdk
CCTV JL. PUNGKUR-PASUNDAN 02,Jl. Pungkur,Pungkur,Regol,DISKOMINFO,Rabu,17:00,17.07 - 17.17,-,Tidak Beranomali,140810230031,https://drive.google.com/file/d/1czl2nQxRdnmYoNczuz9a_qW_A1ISbh3l/view?usp=drivesdk
PARKIR TRUNOJOYO RIAU PTZ,Jl. Laksamana Laut Raden Eddy Martadinata,Citarum,Bandung Wetan,DISHUB,Rabu,17:00,17.18 - 17.28,cctv offline,Offline,140810230031,https://drive.google.com/file/d/1d1Jupq7OWtZS-1OQnjoLvlmBjbfZfzPb/view?usp=drivesdk
CCTV CIBADUYUT-DEKAT TPS 01,Jl. Cibaduyut,Ciabaduyut Wetan,Bojongloa Kidul,DISKOMINFO,Rabu,17:00,17.29 - 17.39,-,Tidak Beranomali,140810230031,https://drive.google.com/file/d/1d4ojVSrcdFERl5oK1EbLzrd_nnIV1NNj/view?usp=drivesdk
CCTV WASTUKENCANA 02,Jl. Wastukencana,Tamansari,Bandung Wetan,DISKOMINFO,Rabu,17:00,17.40 - 17.50,-,Tidak Beranomali,140810230031,https://drive.google.com/file/d/1d5pSo0f8LToyyaUIYUFwKj91d84rKNq7/view?usp=drivesdk
CCTV JL RIAU YOGYA JUNCTION,Jl. L. L. R.E. Martadinata,Citarum,Bandung Wetan,DISKOMINFO,Rabu,17:00,17.40-17.50,CCTV tidak dapat diputar,Tidak Berfungsi,140810230033,https://drive.google.com/file/d/15JC80joHpq29V64HpMkrFspY1aOzl3ns/view?usp=drivesdk
CCTV GEDEBAGE_02,Jl Gedebage Selatan,Cisaranten Kidul,Gedebage,DISKOMINFO,Rabu,17:00,17.25-17.35,CCTV tidak dapat diputar,Tidak Berfungsi,140810230033,https://drive.google.com/file/d/1uPdKSfOICBfph_ai6ylmuZIHmK52j046/view?usp=drivesdk
CCTV JL SUKAJADI PVJ 02,Jl. Sukajadi,Cipedes,Sukajadi,DISKOMINFO,Rabu,17:00,17.25-17.35,CCTV tidak dapat diputar,Tidak Berfungsi,140810230033,https://drive.google.com/file/d/1H0tcCnC89nfRFzhiIlHd4OKSP2vbxLCx/view?usp=drivesdk
TB JL. A. H. NASUTION CIKADUT,Jl. A. H. Nasution,Antapani Wetan,Antapani,DPU,Rabu,17:00,17.00-17.10,CCTV tidak dapat diputar,Tidak Berfungsi,140810230033,https://drive.google.com/file/d/17QyJu7zKOwBjOA2DwRSqfVIKTHghJwMt/view?usp=drivesdk
CCTV JL. ARCAMANIK 02,Jl. Arcamanik No. 2,Pasir Impun,Mandalajati,DISKOMINFO,Rabu,17:00,17.00-17.10,CCTV tidak dapat diputar,Tidak Berfungsi,140810230033,https://drive.google.com/file/d/1rmKhw9HXXwbroGQoAO60o2x33T-gzHd5/view?usp=drivesdk
TB JL. CIKUTRA,Jl. Cikutra,Neglasari,Cibeunying Kidul,DPU,Rabu,17:00,17.06-17.16,-,Tidak Beranomali,140810230033,https://drive.google.com/file/d/1ECD3CJ0ej8d-FlQednVb2unXcWVj5SHd/view?usp=drivesdk
CCTV MARTANEGARA SATPOL PP 02,Jl. Martanegara,Turangga,Lengkong,DISKOMINFO,Rabu,17:00,17.13-17.23,-,Tidak Beranomali,140810230033,https://drive.google.com/file/d/14WW9XJLTzNCmstvoFY9j6_9nPcRrm7Om/view?usp=drivesdk
CCTV SOEKARNO HATTA-GEDEBAGE 01,Jl. Soekarno Hatta,Cisaranten Kidul,Gedebage,DISKOMINFO,Rabu,18:00,18.00-18.10,-,Tidak Beranomali,140810230033,https://drive.google.com/file/d/11_YCXAfW6_NrpgcqTnwjAJ99nsYZrRj8/view?usp=drivesdk
TB JL. RUMAH SAKIT,Jl. Rumah Sakit,Sukamulya,Cinambo,DPU,Rabu,18:00,18.27-18.37,-,Tidak Beranomali,140810230033,https://drive.google.com/file/d/1kySqGf24FFvO5xWinN2l06rAzPNVp8Xl/view?usp=drivesdk
CCTV JL RIAU PENGADILAN 02,Jl. Riau,Citarum,Bandung Wetan,DISKOMINFO,Rabu,18:00,18.49-19.59,-,Tidak Beranomali,140810230033,https://drive.google.com/file/d/1kJ26uQLADqOm8DO5l7I5FAyrFEX-kA5u/view?usp=drivesdk
CCTV JL. PURWAKARTA-GASMIN 01,Jl. Purwakarta No. 216,Antapani Tengah,Antapani,DISKOMINFO,Rabu,19:00,19.34 - 19.44,tanggal dan jam salah,Salah Timestamp,140810230034,CCTV Jl. Purwakarta-Gasmin 01.mp4
CCTV SUKAJADI-SETIABUDHI 01,Jl. Dr. Setiabudi,Hegarmanah,Cidadap,DISKOMINFO,Rabu,19:00,19:50 - 20:00,CCTV buffering,Tidak Berfungsi,140810230034,CCTV SUKAJADI-SETIABUDHI 01.mp4
CCTV SOEKARNO HATTA-GEDEBAGE 01,Jl. Soekarno Hatta,Cisaranten Kidul,Gedebage,DISKOMINFO,Rabu,19:00,19.47 - 19.57,-,Tidak Beranomali,140810230034,CCTV Soekarno Hatta-Gedebage 01.mp4
CCTV TAMBLONG,Jl. Sumatra,-,Sumur Bandung,DISKOMINFO,Rabu,19:00,19.58 - 20.08,-,Tidak Beranomali,140810230034,CCTV Tamblong.mp4
CCTV DIPATI UKUR-UNIKOM 02,Jl. Dipati Ukur,Lebakgede,Coblong,DISKOMINFO,Rabu,20:00,20:07 -- 20:17,-,Tidak Beranomali,140810230034,CCTV DIPATI UKUR-UNIKOM 02 2024-05-08 20-03-45.mp4
CCTV KEPATIHAN TENGAH 02,Jl. Kepatihan,Balongede,Regol,DISKOMINFO,Rabu,20:00,20.11 - 20.21,CCTV buffering di 5:24,Tidak Berfungsi,140810230034,CCTV Kepatihan Tengah 02.mp4
TAMAN PALESTINA_01,Jl. Asia Afrika No.84,Balonggede,Regol,DPKP3,Rabu,20:00,20.22 - 20.32,CCTV buffering,Tidak Berfungsi,140810230034,Taman Palestina_01.mp4
CCTV RANCANUMPANG 01,Jl. Rancanumpang,Rancanumpang,Gedebage,DISKOMINFO,Rabu,20:00,20.33 - 20.43,CCTV tertutup pohon,Terhalang Objek,140810230034,CCTV Rancanumpang 01.mp4
TAMAN LANSIA_04,Jl. Cisangkuy,Citarum,Bandung Wetan,DPKP3,Rabu,20:00,20.44 - 20.54,-,Tidak Beranomali,140810230034,Taman Lansia_04.mp4
CCTV PHH MUSTOFA-PUSDAI 02,Jl. Untung Surapati,Sukaluyu,Cibeunying Kaler,DISKOMINFO,Rabu,20:00,20.56 - 21.06,buffering selama 6 menit mulai di menit ke-3,Tidak Berfungsi,140810230034,CCTV PHH Mustofa-Pusdai 02.mp4
PARKIR ACEH PRAMUKA RIAU,Jl. Brantas,Cihapit,Bandung Wetan,DISHUB,Rabu,20:00,20.20 - 20.35,CCTV buffering,Tidak Berfungsi,140810230035,https://drive.google.com/file/d/1MOqGvm1HDx3Ud_46OvzHaRV5W8kHUse0/view?usp=sharing
TAMAN TEGALEGA_11,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Rabu,20:00,20.05 - 20.15,-,Tidak Beranomali,140810230035,https://drive.google.com/file/d/10AnLTvV9RO3maQcYtX1s4oDuIjnFC3al/view?usp=sharing
CCTV PERTIGAAN AH NASUTION-CIJAMBE 02,Jl. A.H. Nasution,Cisantren Bina Harapan,Arcamanik,DISKOMINFO,Rabu,20:00,20.05 - 20.15,-,Tidak Beranomali,140810230035,https://drive.google.com/file/d/1c7KHvM5UO7K1W9OxcwrKhonW2tTxWB6a/view?usp=sharing
CCTV FLY OVER CIMINDI-JL. BUDI 02,Jl. Budi,Sukaraja,Cicendo,DISKOMINFO,Rabu,20:00,20.05 - 20.15,CCTV tertutup pohon sedikit,Terhalang Objek,140810230035,https://drive.google.com/file/d/1iz1zrk9lVSSVmXnX9ZJqGEHsuAMF9w8C/view?usp=sharing
TB JL. PAGARSIH,Jl. Pagarsih,Babakan Tarogong,Bojongloa Kaler,DPU,Rabu,21:00,21.40 - 21.50,-,Tidak Beranomali,140810230035,https://drive.google.com/file/d/1OyRj5rSBJ9dN05oyVPYnDo95fiw5H8qx/view?usp=sharing
CCTV PEREMPATAN LASWI-GATSU 01,Jl. Gatot Subroto,Samoja,Batununggal,DISKOMINFO,Rabu,21:00,21.30 - 21.40,-,Tidak Beranomali,140810230035,https://drive.google.com/file/d/1ZaCx3Ou0w23qhBntgpo3OxRxrekk1qEa/view?usp=sharing
TAMAN LANSIA_02,Jl. Cisangkuy,Citarum,Bandung Wetan,DPKP3,Rabu,21:00,21.00 - 21.10,-,Tidak Beranomali,140810230035,https://drive.google.com/file/d/1Wl5PFtnUut8MBuMZKlfZ-5HdqXlN1tPg/view?usp=sharing
CCTV CIHAMPELAS-SKYWALK 02,Jl. Cihampelas,Cipaganti,Coblong,DISKOMINFO,Rabu,21:00,21.15 - 21.25,-,Tidak Beranomali,140810230035,https://drive.google.com/file/d/13KBRAq8N6jQNnC5r_zAHoBHui0hstFzu/view?usp=sharing
CCTV SURAPATI-CORE_02,Jl. Padasuka,Pasirlayung,Cibeunying Kidul,DISKOMINFO,Rabu,21:00,21.30 - 21.40,CCTV buffering,Tidak Berfungsi,140810230035,https://drive.google.com/file/d/1d9-oCBjzJkQ8RndR8kt6O8sY1fD-AE6K/view?usp=sharing
CCTV MTOHA-BKR_01,Jl. Moh Toha,Ciateul,Regol,DISKOMINFO,Rabu,21:00,21.50 - 22.00,-,Tidak Beranomali,140810230035,https://drive.google.com/file/d/1OBGvLhUvExNRCMJo-cS25CTGgpEHyJEn/view?usp=sharing
CCTV JL ASIA AFRIKA BRI TOWER 03,Jl. Asia Afrika,Banceuy,Sumur Bandung,DISKOMINFO,Rabu,21:00,21.24-21.34,-,Tidak Beranomali,140810230037,https://drive.google.com/file/d/1McaK8E-GHOE5hxjP6ZK_cXnJLzkQneSC/view?usp=drivesdk
CCTV SUKAJADI-SETIABUDHI 01,Jl. Dr. Setiabudi,Hegarmanah,Cidadap,DISKOMINFO,Rabu,22:00,22.00 - 22.10,CCTV buffering,Tidak Berfungsi,140810230037,https://drive.google.com/file/d/1MbTGS9Q6WI0NLzICdZGvIZZpdkmUkvRG/view?usp=sharing
CCTV JL. SURAPATI - GASIBU 01,Jl. Penata Yudha,Lebakgede,Coblong,DISKOMINFO,Rabu,22:00,22.06 - 22.16,-,Tidak Beranomali,140810230037,https://drive.google.com/file/d/1pWinQztW38g57cK-YxWWry4ZpQJUR8l1/view?usp=sharing
CCTV JAKARTA-HKBP_02,Jl. Jakarta,Kacapiring,Batununggal,DISKOMINFO,Rabu,22:00,22.06 - 22.16,-,Tidak Beranomali,140810230037,https://drive.google.com/file/d/1YjT05FaaWeCQsLvlR9aiLrIabwC3oTyb/view?usp=sharing
CCTV JL LENGKONG KECIL 02,Jl. Lengkong Kecil,Lengkong,Bojongsoang,DISKOMINFO,Rabu,22:00,22.19-22.29,CCTV buffering di beberapa waktu,Tidak Berfungsi,140810230037,https://drive.google.com/file/d/1Df2I29KoQnrRO1hqooHhAUN7QzDTasL-/view?usp=sharing
CCTV ITB KEBUN BINATANG 02,Jl. Ganesa,Siliwangi,Coblong,DISKOMINFO,Rabu,22:00,22.21-22.31,CCTV glitch di beberapa waktu,Visual Kurang Jelas,140810230037,https://drive.google.com/file/d/1dtkpkuCa5_zU7AAXl-6GtFS61fHZgVun/view?usp=sharing
CCTV MTOHA-BKR_01,Jl. Moh Toha,Ciateul,Regol,DISKOMINFO,Rabu,22:00,22.32 - 22.42,CCTV freeze dan buffering di beberapa waktu,Tidak Berjalan Normal,140810230037,https://drive.google.com/file/d/1In_41pbOryga9m9fHTTuXmGKG1gyuE1o/view?usp=sharing
CCTV JALAN CITARUM-PET PARK 01,Jl. Cilaki,Cihapit,Bandung Wetan,DISKOMINFO,Rabu,22:00,22.30 - 22.40,CCTV buffering di beberapa waktu,Tidak Berfungsi,140810230037,https://drive.google.com/file/d/1LAlag-vs5vd6NLGpb16T_z451-PvP35L/view?usp=sharing
CCTV PEREMPATAN KORDON 02,Jl. Terusan Buah Batu,Kujangsari,Bandung Kidul,DISKOMINFO,Rabu,22:00,22.46 - 22.56,CCTV buffering di beberapa waktu,Tidak Berfungsi,140810230037,https://drive.google.com/file/d/1ANRm4sG4Me71qAaESjfnZDeTQJih1vKF/view?usp=sharing
TAMAN LANSIA_03,Jl. Cisangkuy,Citarum,Bandung Wetan,DPKP3,Rabu,22:00,22.48 - 22.58,CCTV buffering,Tidak Berfungsi,140810230037,https://drive.google.com/file/d/1zgfPIjFg_47n-l8qQpjH2q3tqcjNIZcC/view?usp=sharing
CCTV MERDEKA-JAWA 02,Jl.Merdeka,Babakan Ciamis,Sumur Bandung,DISKOMINFO,Kamis,06:00,06.43 - 06.53,CCTV buffering,Tidak Berfungsi,140810230038,CCTV Merdeka-Jawa 02.mp4
CCTV GEDEBAGE_01,Jl Gedebage Selatan,Cisaranten Kidul,Gedebage,DISKOMINFO,Kamis,06:00,06.15 - 06.25,-,Tidak Beranomali,140810230038,CCTV Gedebage-1.mp4
CCTV CIATEUL 02,Jl. PLN Ciateul,Ciateul,Regol,DISKOMINFO,Kamis,06:00,06.29 - 06.39,-,Tidak Beranomali,140810230038,CCTV Ciateul 02.mp4
CCTV CIHAMPELAS_01,Jl. Cihampelas,Taman sari,Bandung Wetan,DISKOMINFO,Kamis,07:00,07.02 - 07.12,-,Tidak Beranomali,140810230038,CCTV Cihampelas 01.mp4
CCTV SETIABUDI DEPAN TERMINAL LEDENG 02,Jl. Dokter Setiabudi,Ledeng,Cidadap,DISKOMINFO,Kamis,07:00,07.32 - 07.42,-,Tidak Beranomali,140810230038,CCTV Setiabudi Depan Terminal Ledeng 02.mp4
CCTV FLY OVER KOPO-LEUWI PANJANG 02,Jl. Flyover Leuwi Panjang Kopo,Kopo,Bojongloa Kaler,DISKOMINFO,Kamis,07:00,07.19 - 07.29,-,Tidak Beranomali,140810230038,CCTV Flyover Kopo-Leuwi Panjang 02.mp4
CCTV JL SUKAJADI PVJ 02,Jl. Sukajadi,Cipedes,Sukajadi,DISKOMINFO,Kamis,07:00,07.18 - 07.28,-,Tidak Beranomali,140810230038,CCTV Sukajadi PVJ 02.mp4
CCTV PASAR KOSAMBI 02,Jl. Jendral Ahmad Yani,Malabar,Lengkong,DISKOMINFO,Kamis,07:00,07.49 - 07.59,CCTV ngefreeze,Tidak Berjalan Normal,140810230038,CCTV Pasar Kosambi 02.mp4
PARKIR CIHAPIT RIAU (PENGADILAN),Jl. L. L. Raden Eddy Martadinata,Cihapit,Bandung Wetan,DISHUB,Kamis,08:00,08.19 - 08.29,CCTV buffering,Tidak Berfungsi,140810230038,CCTV Parkir Cihapit Riau (Pengadilan).mp4
TAMAN PASUPATI_02,Jl. Tamansari No.66,Lb. Siliwangi,Coblong,DPKP3,Kamis,08:00,08.30 - 08.40,CCTV buffering,Tidak Berfungsi,140810230038,CCTV Taman Pasupati 02.mp4
CCTV GATOT SUBROTO - TSM_01,Jl Gatot Subroto 289,Cibangkong,Batununggal,DISKOMINFO,Kamis,08:00,08.36 - 08.46,CCTV freeze di beberapa waktu,Tidak Berjalan Normal,140810230039,Gatot Subroto tsm 01 (kamis 08.00).mov
CCTV SIMPANG BRAGA 03,Jl. Cikapundung Timur,Braga,Sumur Bandung,DISKOMINFO,Kamis,08:00,08.22 - 08.32,CCTV glitch di beberapa waktu,Visual Kurang Jelas,140810230039,Simpang Braga 03 (kamis 08.00).mp4
CCTV CIHAMPELAS_02,Jl. Cihampelas,Taman Sari,Bandung Wetan,DISKOMINFO,Kamis,09:00,09.04 - 09.14,CCTV glitch di beberapa waktu,Visual Kurang Jelas,140810230039,Cihampelas 02 (kamis 09.00).mp4
CCTV JL SUKAJADI PVJ 01,Jl. Sukajadi,Cipedes,Sukajadi,DISKOMINFO,Kamis,09:00,09.04 - 09.14,CCTV glitch dan freeze di beberapa waktu,Visual Kurang Jelas,140810230039,Jl Sukajadi pvj 01 (kamis 09.00).mov
CCTV PASAR KOSAMBI 02,Jl. Jendral Ahmad Yani,Malabar,Lengkong,DISKOMINFO,Kamis,09:00,10.15 - 10.25,CCTV glitch di beberapa waktu,Visual Kurang Jelas,140810230039,Pasar Kosambi 02 (kamis 09.00).mp4
CCTV SOETA-KIRCON 01,Jl. Letnan Jenderal Ibrahim Adjie,Binong,Tarogong Kaler,DISKOMINFO,Kamis,09:00,09.27 - 09.37,CCTV buffering,Tidak Berfungsi,140810230039,Soeta Kircon 01 (kamis 09.00).mp4
CCTV KATAMSO-PAHLAWAN_03,Jl. Khp Hasan Mustopa,Neglasari,Cibeunying Kaler,DISKOMINFO,Kamis,10:00,10.01 - 10.11,CCTV glitch dan freeze di beberapa waktu,Visual Kurang Jelas,140810230039,Katamso Pahlawan 03 (kamis 10.00).mov
CCTV DIPATI UKUR-UNIKOM 01,Jl. Dipati Ukur,Lebakgede,Coblong,DISKOMINFO,Kamis,10:00,10.14 - 10.24,CCTV glitch di beberapa waktu,Visual Kurang Jelas,140810230039,Dipatiukur Unikom 01 (kamis 10.00).mp4
TB IBRAHIM ADJIE,Jl. Ibrahim Adjie,Kebon Gedang,Batununggal,DPU,Kamis,10:00,10.12 - 10.22,CCTV glitch dan freeze di beberapa waktu,Visual Kurang Jelas,140810230039,TB Ibrahim Adjie (kamis 10.00).mov
CCTV SOETA-KIRCON 01,Jl. Letnan Jenderal Ibrahim Adjie,Binong,Tarogong Kaler,DISKOMINFO,Kamis,10:00,10.28 - 10.38,CCTV buffering,Tidak Berfungsi,140810230039,Soeta Kircon 01 (kamis 10.00).mov
CCTV SOEKARNO HATTA-GEDEBAGE 01,Jl. Soekarno Hatta,Cisaranten Kidul,Gedebage,DISKOMINFO,Kamis,11:00,11:22 - 11:32,buffering,Tidak Berfungsi,140810230040,PELINDUNG - PEMANTAUAN LINGKUNGAN KOTA BANDUNG - Soekarno.mp4
CCTV DEPAN TOKO INDRA (ALUN2) 02,-,-,-,DISKOMINFO,Kamis,11:00,11:33 - 11:43,-,Tidak Beranomali,140810230040,PELINDUNG - PEMANTAUAN LINGKUNGAN KOTA BANDUNG - Indra.mp4
CCTV CICADAS-GATEWAY_02,Jl. Ahmad Yani,Babakan Surabaya,Kiaracondong,DISKOMINFO,Kamis,12:00,12:20 - 12:30,buffering,Tidak Berfungsi,140810230040,PELINDUNG - PEMANTAUAN LINGKUNGAN KOTA BANDUNG - Cicadas.mp4
CCTV JL. PALASARI 02,Jl. Palasari No. 2,Cisurupan,Cibiru,DISKOMINFO,Kamis,12:00,12:31 - 12:41,buffering,Tidak Berfungsi,140810230040,PELINDUNG - PEMANTAUAN LINGKUNGAN KOTA BANDUNG - Palasari 2.mp4
